mip,0.1,100,99,20981,0.107
mip,0.1,150,148,31780,0.139
mip,0.1,200,197,41374,0.236
mip,0.1,250,245,52919,0.37
mip,0.1,300,295,62191,0.542
mip,0.1,350,345,73093,0.761
mip,0.1,400,392,82582,1.017
mip,0.1,450,441,92727,1.289
mip,0.1,500,488,103648,1.514
mip,0.1,600,586,124498,2.422
mip,0.1,800,784,164928,4.13
mip,0.1,1000,979,208024,6.747
mip,0.1,1500,1463,309551,16.6
mip,0.1,2000,1949,413113,31.222
mip,0.1,2500,2425,514788,56.649
mip,0.1,3042,2951,627052,93.369
mip,0.2,100,91,12438,0.144
mip,0.2,150,135,18816,0.204
mip,0.2,200,178,24538,0.397
mip,0.2,250,218,31244,0.582
mip,0.2,300,261,36840,0.706
mip,0.2,350,304,43259,0.892
mip,0.2,400,344,48908,1.224
mip,0.2,450,388,54928,1.719
mip,0.2,500,428,61295,2.202
mip,0.2,600,511,73617,3.556
mip,0.2,800,681,97628,6.792
mip,0.2,1000,854,122930,10.039
mip,0.2,1500,1259,182867,29.458
mip,0.2,2000,1689,244062,56.73
mip,0.2,2500,2097,303967,100.02
mip,0.2,3042,2556,370202,150.666
mip,0.3,100,75,9352,0.188
mip,0.3,150,115,14156,0.311
mip,0.3,200,152,18512,0.367
mip,0.3,250,192,23521,0.611
mip,0.3,300,223,27762,0.966
mip,0.3,350,259,32572,1.427
mip,0.3,400,295,36839,2.017
mip,0.3,450,330,41367,2.809
mip,0.3,500,365,46136,3.94
mip,0.3,600,427,55378,6.037
mip,0.3,800,566,73498,10.428
mip,0.3,1000,700,92413,18.405
mip,0.3,1500,1041,137435,48.379
mip,0.3,2000,1400,183544,92.383
mip,0.3,2500,1730,228452,166.32
mip,0.3,3042,2113,278326,273.136
mip,0.4,100,65,7682,0.21
mip,0.4,150,103,11667,0.372
mip,0.4,200,133,15249,0.468
mip,0.4,250,163,19352,1.053
mip,0.4,300,187,22809,1.667
mip,0.4,350,220,26758,2.578
mip,0.4,400,248,30257,3.626
mip,0.4,450,278,33950,4.65
mip,0.4,500,306,37864,6.0
mip,0.4,600,366,45381,7.882
mip,0.4,800,480,60201,15.895
mip,0.4,1000,606,75643,23.128
mip,0.4,1500,876,112360,68.865
mip,0.4,2000,1149,150094,129.812
mip,0.4,2500,1426,186756,239.941
mip,0.4,3042,1737,227525,373.413
