mip,0.1,100,66,3790,0.13
mip,0.1,150,99,5685,0.17
mip,0.1,200,129,7413,0.298
mip,0.1,250,156,9294,0.636
mip,0.1,300,179,10818,0.652
mip,0.1,350,207,12544,0.872
mip,0.1,400,236,14206,1.252
mip,0.1,450,258,15834,1.481
mip,0.1,500,280,17520,2.375
mip,0.1,600,327,20684,2.684
mip,0.1,800,411,26872,4.811
mip,0.1,1000,493,33119,7.864
mip,0.1,1500,673,47721,20.437
mip,0.1,2000,852,62573,41.213
mip,0.1,2500,1014,76408,72.483
mip,0.1,3042,1177,91726,120.352
mip,0.2,100,50,2709,0.187
mip,0.2,150,74,4104,0.279
mip,0.2,200,93,5292,0.516
mip,0.2,250,112,6431,0.785
mip,0.2,300,125,7295,0.935
mip,0.2,350,140,8360,1.425
mip,0.2,400,155,9320,1.901
mip,0.2,450,163,10267,3.123
mip,0.2,500,180,11370,3.8
mip,0.2,600,197,13141,6.782
mip,0.2,800,232,16484,14.538
mip,0.2,1000,274,20106,20.99
mip,0.2,1500,340,27859,125.019
mip,0.2,2000,408,35343,282.812
mip,0.2,2500,464,42355,631.093
mip,0.2,3042,518,49994,646.256
mip,0.3,100,41,2187,0.277
mip,0.3,150,59,3227,0.427
mip,0.3,200,69,4018,1.104
mip,0.3,250,80,4836,1.605
mip,0.3,300,79,5334,2.157
mip,0.3,350,91,6173,4.281
mip,0.3,400,100,6817,9.639
mip,0.3,450,111,7500,9.163
mip,0.3,500,118,8199,12.725
mip,0.3,600,129,9309,31.856
mip,0.3,800,164,11444,75.609
mip,0.3,1000,179,13761,155.005
mip,0.3,1500,204,18695,611.258
mip,0.3,2000,257,23893,618.219
mip,0.3,2500,321,29398,628.973
mip,0.3,3042,531,40331,643.236
mip,0.4,100,31,1736,0.293
mip,0.4,150,48,2605,0.665
mip,0.4,200,53,3080,1.728
mip,0.4,250,57,3701,2.42
mip,0.4,300,62,4039,4.958
mip,0.4,350,69,4649,8.019
mip,0.4,400,72,5140,12.71
mip,0.4,450,88,5632,33.972
mip,0.4,500,86,6075,41.393
mip,0.4,600,104,6968,46.435
mip,0.4,800,97,8408,330.317
mip,0.4,1000,119,10148,527.478
mip,0.4,1500,175,13865,611.844
mip,0.4,2000,205,18465,618.309
mip,0.4,2500,331,25096,629.668
mip,0.4,3042,459,33112,641.622
