mip,0.1,100,99,29448,0.129
mip,0.1,150,149,44631,0.138
mip,0.1,200,199,58008,0.232
mip,0.1,250,249,74315,0.371
mip,0.1,300,299,87204,0.543
mip,0.1,350,349,102534,0.742
mip,0.1,400,399,115764,1.103
mip,0.1,450,449,129971,1.232
mip,0.1,500,499,145350,1.529
mip,0.1,600,599,174594,2.327
mip,0.1,800,799,231178,4.169
mip,0.1,1000,999,291766,7.077
mip,0.1,1500,1499,433983,16.013
mip,0.1,2000,1999,579227,31.595
mip,0.1,2500,2499,721737,57.385
mip,0.1,3042,3041,879208,93.396
mip,0.2,100,98,16691,0.138
mip,0.2,150,148,25280,0.192
mip,0.2,200,196,32946,0.366
mip,0.2,250,244,42070,0.561
mip,0.2,300,294,49515,0.688
mip,0.2,350,344,58179,0.891
mip,0.2,400,391,65752,1.166
mip,0.2,450,440,73840,1.571
mip,0.2,500,487,82486,2.188
mip,0.2,600,586,99087,3.294
mip,0.2,800,782,131331,6.521
mip,0.2,1000,977,165551,9.607
mip,0.2,1500,1457,246372,28.481
mip,0.2,2000,1944,328795,55.682
mip,0.2,2500,2422,409707,95.893
mip,0.2,3042,2949,499050,147.752
mip,0.3,100,86,12398,0.19
mip,0.3,150,129,18758,0.299
mip,0.3,200,170,24472,0.356
mip,0.3,250,211,31154,0.569
mip,0.3,300,252,36737,0.912
mip,0.3,350,295,43140,1.331
mip,0.3,400,335,48772,1.931
mip,0.3,450,379,54782,2.658
mip,0.3,500,420,61133,3.49
mip,0.3,600,505,73433,5.266
mip,0.3,800,673,97387,9.479
mip,0.3,1000,842,122640,15.814
mip,0.3,1500,1246,182446,42.717
mip,0.3,2000,1681,243529,85.009
mip,0.3,2500,2090,303353,151.486
mip,0.3,3042,2550,369477,251.021
mip,0.4,100,79,10098,0.196
mip,0.4,150,120,15289,0.364
mip,0.4,200,158,19993,0.446
mip,0.4,250,198,25414,0.803
mip,0.4,300,235,30002,1.285
mip,0.4,350,271,35223,1.962
mip,0.4,400,307,39830,2.85
mip,0.4,450,343,44734,3.82
mip,0.4,500,380,49905,4.768
mip,0.4,600,451,59944,6.549
mip,0.4,800,596,79557,13.477
mip,0.4,1000,733,100117,24.172
mip,0.4,1500,1081,148918,64.385
mip,0.4,2000,1452,198910,118.222
mip,0.4,2500,1791,247667,224.518
mip,0.4,3042,2181,301742,379.253
